group,source,uncertainty_layer,count
source,P-1GPa,,29
source,P-5GPa,,18
source,P-10GPa,,13
source,P-20GPa,,11
source,P-30GPa,,6
source,P-40GPa,,9
source,P-50GPa,,14
uncertainty_layer,,U-below-tail,98
uncertainty_layer,,U-ge-tail,2
source_layer,P-1GPa,U-below-tail,29
source_layer,P-5GPa,U-below-tail,18
source_layer,P-10GPa,U-below-tail,13
source_layer,P-20GPa,U-below-tail,11
source_layer,P-30GPa,U-below-tail,6
source_layer,P-40GPa,U-below-tail,9
source_layer,P-50GPa,U-below-tail,12
source_layer,P-50GPa,U-ge-tail,2
