group,source,uncertainty_layer,count
source,P-2GPa,,30
source,P-8GPa,,23
source,P-15GPa,,16
source,P-25GPa,,12
source,P-35GPa,,9
source,P-45GPa,,5
source,P-55GPa,,5
uncertainty_layer,,U-below-tail,99
uncertainty_layer,,U-ge-tail,1
source_layer,P-2GPa,U-below-tail,30
source_layer,P-8GPa,U-below-tail,23
source_layer,P-15GPa,U-below-tail,15
source_layer,P-15GPa,U-ge-tail,1
source_layer,P-25GPa,U-below-tail,12
source_layer,P-35GPa,U-below-tail,9
source_layer,P-45GPa,U-below-tail,5
source_layer,P-55GPa,U-below-tail,5
