group,source,uncertainty_layer,count
source,P-1GPa,,40
source,P-5GPa,,19
source,P-10GPa,,13
source,P-20GPa,,5
source,P-30GPa,,10
source,P-40GPa,,9
source,P-50GPa,,4
uncertainty_layer,,U-below-tail,95
uncertainty_layer,,U-ge-tail,5
source_layer,P-1GPa,U-below-tail,39
source_layer,P-1GPa,U-ge-tail,1
source_layer,P-5GPa,U-below-tail,18
source_layer,P-5GPa,U-ge-tail,1
source_layer,P-10GPa,U-below-tail,13
source_layer,P-20GPa,U-below-tail,5
source_layer,P-30GPa,U-below-tail,8
source_layer,P-30GPa,U-ge-tail,2
source_layer,P-40GPa,U-below-tail,9
source_layer,P-50GPa,U-below-tail,3
source_layer,P-50GPa,U-ge-tail,1
